Zipcode	Days on Zillow	Status	Url	ImageUrl	Price	Rent Estimate
77316	0	House for sale	https://www.zillow.com/homedetails/901-Huffman-St-Montgomery-TX-77316/59780141_zpid/	https://photos.zillowstatic.com/fp/5d0c602eadcb80df2d634550caa4f451-p_e.jpg	2499000	1995
77316	79	House for sale	https://www.zillow.com/homedetails/1-Bobville-Rd-TRACT-1-Montgomery-TX-77316/2062140782_zpid/	https://photos.zillowstatic.com/fp/e59ee026522a09f98778c2958d473fd7-p_e.jpg	300000	0
77316	183	New construction	https://www.zillow.com/homedetails/4438-Wynne-Way-Montgomery-TX-77316/2064097510_zpid/	https://photos.zillowstatic.com/fp/64a3ff56799a64c9fb4cb03aaf06b7ee-p_e.jpg	2990000	0
77316	0	House for sale	https://www.zillow.com/homedetails/2624-Saint-Beulah-Chapel-Rd-Montgomery-TX-77316/67680190_zpid/	https://photos.zillowstatic.com/fp/4e4514f045b04dc9a4107461cfbdcfd2-p_e.jpg	1989996	10527
77356	0	New construction	https://www.zillow.com/community/hills-of-town-creek/2084494011_zpid/	https://photos.zillowstatic.com/fp/6d85d1a801d95f08ca9af8ac0592fbfb-p_e.jpg	329900	1895
77316	24	New construction	https://www.zillow.com/homedetails/5279-E-Park-Ln-Montgomery-TX-77316/2061334688_zpid/	https://photos.zillowstatic.com/fp/68989ab1ad2967e47fd92222b148d6d5-p_e.jpg	299900	0
77356	0	New construction	https://www.zillow.com/homedetails/104-Colbys-Way-Montgomery-TX-77356/2062784732_zpid/	https://photos.zillowstatic.com/fp/4e00c28339c96a2c985c12bc4c213341-p_e.jpg	292900	1903
77356	0	New construction	https://www.zillow.com/homedetails/108-Colbys-Way-Montgomery-TX-77356/2062935573_zpid/	https://photos.zillowstatic.com/fp/6dd5bc7b2253aa90959023100c5f6748-p_e.jpg	342900	1900
77356	0	New construction	https://www.zillow.com/homedetails/107-Brocks-Ln-Montgomery-TX-77356/296380210_zpid/	https://photos.zillowstatic.com/fp/36b099e934c137f6a52de3c943b67ee6-p_e.jpg	291900	1699
77356	0	New construction	https://www.zillow.com/homedetails/120-Colbys-Way-Montgomery-TX-77356/2061817328_zpid/	https://photos.zillowstatic.com/fp/069b62b829e0fbf4f31d8e810e4ddf71-p_e.jpg	339900	1862
77316	814	House for sale	https://www.zillow.com/homedetails/2306-S-Fm-1486-Rd-Montgomery-TX-77316/28685290_zpid/	https://photos.zillowstatic.com/fp/4a358bf427cab9f5f33c330fe741a426-p_e.jpg	1535000	8207
77356	0	New construction	https://www.zillow.com/homedetails/100-Colbys-Way-Montgomery-TX-77356/2062935574_zpid/	https://photos.zillowstatic.com/fp/a7163eba72588f5204b36f4c54281cde-p_e.jpg	329900	1780
77356	129	House for sale	https://www.zillow.com/homedetails/0-Lone-Star-Pkwy-Montgomery-TX-77356/2102781199_zpid/	https://photos.zillowstatic.com/fp/a2c520a9e7ff741a09d137eda1342188-p_e.jpg	1675000	1365
77356	814	House for sale	https://www.zillow.com/homedetails/2305-Lone-Star-Pkwy-Montgomery-TX-77356/2062315873_zpid/	https://photos.zillowstatic.com/fp/2dfd90ead6b4f8c29c616e5d16beb4db-p_e.jpg	1627401	0
